,Purchases,Sales,Mid-rate,Spread,Dep(+)/App(-),,,,
,Weighted Avg.,Weighted  Avg.,(UgShs/US$),(UgShs),(UgShs),,,,
Month,(UgShs/US$),(UgShs/US$),,,,,,,
,,,,,,,,,
,,,,,,,,,
1-Sep-05," 1,813.58 "," 1,829.58 ","1,821.58",16.00,,,,,
2-Sep-05," 1,826.78 "," 1,842.30 ","1,834.54",15.52,12.96,,,,
5-Sep-05," 1,828.29 "," 1,841.86 ","1,835.08",13.57,0.53,,,,
6-Sep-05," 1,830.74 "," 1,842.72 ","1,836.73",11.98,1.66,,,,
7-Sep-05," 1,830.61 "," 1,842.99 ","1,836.80",12.38,0.07,,,,
8-Sep-05," 1,830.33 "," 1,841.34 ","1,835.84",11.01,-0.96,,,,
9-Sep-05," 1,823.98 "," 1,835.14 ","1,829.56",11.16,-6.28,,,,
12-Sep-05," 1,826.17 "," 1,836.46 ","1,831.32",10.29,1.76,,,,
13-Sep-05," 1,829.84 "," 1,839.46 ","1,834.65",9.62,3.34,,,,
14-Sep-05," 1,840.72 "," 1,851.54 ","1,846.13",10.82,11.48,,,,
15-Sep-05," 1,848.57 "," 1,858.57 ","1,853.57",10.00,7.44,,,,
16-Sep-05," 1,845.25 "," 1,856.05 ","1,850.65",10.80,-2.92,,,,
19-Sep-05," 1,842.41 "," 1,854.61 ","1,848.51",12.20,-2.14,,,,
20-Sep-05," 1,847.14 "," 1,858.52 ","1,852.83",11.38,4.32,,,,
21-Sep-05," 1,852.74 "," 1,864.39 ","1,858.57",11.65,5.74,,,,
22-Sep-05," 1,852.69 "," 1,863.92 ","1,858.31",11.23,-0.26,,,,
23-Sep-05," 1,853.93 "," 1,864.80 ","1,859.37",10.87,1.06,,,,
26-Sep-05," 1,853.57 "," 1,864.39 ","1,858.98",10.82,-0.38,,,,
27-Sep-05," 1,859.79 "," 1,869.84 ","1,864.82",10.05,5.84,,,,
28-Sep-05," 1,863.83 "," 1,873.53 ","1,868.68",9.70,3.86,,,,
29-Sep-05," 1,862.74 "," 1,873.63 ","1,868.19",10.89,-0.49,,,,
30-Sep-05," 1,856.96 "," 1,868.40 ","1,862.68",11.44,-5.50,,,,
3-Oct-05," 1,859.45 "," 1,867.70 ","1,863.58",8.25,0.89,,,,
4-Oct-05," 1,861.89 "," 1,871.22 ","1,866.56",9.33,2.98,,,,
5-Oct-05," 1,861.39 "," 1,871.33 ","1,866.36",9.94,-0.19,,,,
6-Oct-05," 1,856.54 "," 1,867.18 ","1,861.86",10.64,-4.50,,,,
7-Oct-05," 1,857.33 "," 1,867.27 ","1,862.30",9.94,0.44,,,,
10-Oct-05," 1,855.51 "," 1,866.10 ","1,860.81",10.59,-1.50,,,,
11-Oct-05," 1,857.79 "," 1,867.25 ","1,862.52",9.46,1.72,,,,
12-Oct-05," 1,858.06 "," 1,866.85 ","1,862.46",8.79,-0.07,,,,
13-Oct-05," 1,857.14 "," 1,866.73 ","1,861.94",9.59,-0.52,,,,
14-Oct-05," 1,858.41 "," 1,868.36 ","1,863.39",9.95,1.45,,,,
17-Oct-05," 1,859.16 "," 1,868.85 ","1,864.01",9.69,0.62,,,,
18-Oct-05," 1,859.07 "," 1,868.93 ","1,864.00",9.86,-0.01,,,,
19-Oct-05," 1,857.92 "," 1,867.95 ","1,862.94",10.03,-1.07,,,,
20-Oct-05," 1,852.02 "," 1,862.31 ","1,857.17",10.29,-5.77,,,,
21-Oct-05," 1,841.43 "," 1,852.88 ","1,847.16",11.45,-10.01,,,,
25-Oct-05," 1,836.58 "," 1,847.47 ","1,842.03",10.89,-5.13,,,,
26-Oct-05," 1,833.62 "," 1,844.31 ","1,838.97",10.69,-3.06,,,,
27-Oct-05," 1,831.63 "," 1,842.47 ","1,837.05",10.84,-1.91,,,,
28-Oct-05," 1,826.70 "," 1,837.55 ","1,832.13",10.85,-4.93,,,,
31-Oct-05," 1,824.66 "," 1,835.60 ","1,830.13",10.94,-1.99,,,,
1-Nov-05," 1,830.83 "," 1,842.62 ","1,836.73",11.79,6.59,,,,
2-Nov-05," 1,836.85 "," 1,847.89 ","1,842.37",11.04,5.64,,,,
4-Nov-05," 1,835.15 "," 1,847.29 ","1,841.22",12.14,-1.15,,,,
7-Nov-05," 1,835.36 "," 1,846.89 ","1,841.13",11.53,-0.10,,,,
8-Nov-05," 1,832.94 "," 1,842.60 ","1,837.77",9.66,-3.36,,,,
9-Nov-05," 1,829.12 "," 1,838.02 ","1,833.57",8.90,-4.20,,,,
10-Nov-05," 1,820.23 "," 1,832.29 ","1,826.26",12.06,-7.31,,,,
11-Nov-05," 1,823.04 "," 1,833.95 ","1,828.50",10.91,2.23,,,,
14-Nov-05," 1,822.92 "," 1,833.79 ","1,828.36",10.87,-0.14,,,,
15-Nov-05," 1,827.37 "," 1,840.50 ","1,833.94",13.13,5.58,,,,
16-Nov-05," 1,838.14 "," 1,848.90 ","1,843.52",10.76,9.59,,,,
17-Nov-05," 1,837.12 "," 1,847.12 ","1,842.12",10.00,-1.40,,,,
18-Nov-05," 1,834.42 "," 1,843.74 ","1,839.08",9.32,-3.04,,,,
21-Nov-05," 1,833.07 "," 1,843.34 ","1,838.21",10.27,-0.88,,,,
22-Nov-05," 1,831.49 "," 1,839.77 ","1,835.63",8.28,-2.57,,,,
23-Nov-05," 1,825.75 "," 1,835.31 ","1,830.53",9.56,-5.10,,,,
24-Nov-05," 1,823.90 "," 1,834.85 ","1,829.38",10.95,-1.15,,,,
25-Nov-05," 1,825.31 "," 1,836.78 ","1,831.05",11.47,1.67,,,,
28-Nov-05," 1,821.81 "," 1,833.59 ","1,827.70",11.78,-3.35,,,,
29-Nov-05," 1,822.67 "," 1,833.50 ","1,828.09",10.83,0.39,,,,
30-Nov-05," 1,822.96 "," 1,834.57 ","1,828.77",11.61,0.68,,,,
1-Dec-05," 1,828.14 "," 1,839.50 ","1,833.82",11.36,5.06,,,,
2-Dec-05," 1,822.43 "," 1,834.15 ","1,828.29",11.72,-5.53,,,,
5-Dec-05," 1,819.99 "," 1,832.08 ","1,826.04",12.09,-2.26,,,,
6-Dec-05," 1,824.81 "," 1,835.15 ","1,829.98",10.34,3.95,,,,
7-Dec-05," 1,831.11 "," 1,841.08 ","1,836.10",9.97,6.11,,,,
8-Dec-05," 1,827.90 "," 1,838.42 ","1,833.16",10.52,-2.93,,,,
9-Dec-05," 1,818.20 "," 1,829.03 ","1,823.62",10.83,-9.55,,,,
12-Dec-05," 1,813.46 "," 1,824.60 ","1,819.03",11.14,-4.59,,,,
13-Dec-05," 1,812.81 "," 1,823.99 ","1,818.40",11.18,-0.63,,,,
14-Dec-05," 1,809.51 "," 1,820.19 ","1,814.85",10.68,-3.55,,,,
15-Dec-05," 1,808.05 "," 1,819.16 ","1,813.61",11.11,-1.24,,,,
16-Dec-05," 1,805.48 "," 1,816.47 ","1,810.98",10.99,-2.63,,,,
19-Dec-05," 1,792.09 "," 1,805.44 ","1,798.77",13.35,-12.21,,,,
20-Dec-05," 1,798.45 "," 1,812.20 ","1,805.33",13.75,6.56,,,,
21-Dec-05," 1,799.50 "," 1,812.14 ","1,805.82",12.64,0.50,,,,
22-Dec-05," 1,790.64 "," 1,805.05 ","1,797.85",14.41,-7.98,,,,
23-Dec-05," 1,790.89 "," 1,806.14 ","1,798.52",15.25,0.67,,,,
27-Dec-05," 1,797.57 "," 1,811.75 ","1,804.66",14.18,6.14,,,,
28-Dec-05," 1,803.26 "," 1,816.60 ","1,809.93",13.34,5.27,,,,
29-Dec-05," 1,807.26 "," 1,819.25 ","1,813.26",11.99,3.33,,,,
30-Dec-05," 1,810.71 "," 1,823.00 ","1,816.86",12.29,3.60,,,,
2-Jan-06," 1,820.84 "," 1,832.64 ","1,826.74",11.80,9.89,,,,
3-Jan-06," 1,818.82 "," 1,830.00 ","1,824.41",11.18,-2.33,,,,
4-Jan-06," 1,818.22 "," 1,829.46 ","1,823.84",11.24,-0.57,,,,
5-Jan-06," 1,811.46 "," 1,823.41 ","1,817.44",11.95,-6.41,,,,
6-Jan-06," 1,808.82 "," 1,819.80 ","1,814.31",10.98,-3.13,,,,
9-Jan-06," 1,806.87 "," 1,818.15 ","1,812.51",11.28,-1.80,,,,
11-Jan-06," 1,810.67 "," 1,820.93 ","1,815.80",10.26,3.29,,,,
12-Jan-06," 1,814.31 "," 1,824.84 ","1,819.58",10.53,3.77,,,,
13-Jan-06," 1,814.26 "," 1,824.57 ","1,819.42",10.31,-0.16,,,,
16-Jan-06," 1,811.83 "," 1,821.57 ","1,816.70",9.74,-2.72,,,,
17-Jan-06," 1,812.84 "," 1,822.22 ","1,817.53",9.38,0.83,,,,
18-Jan-06," 1,812.08 "," 1,821.59 ","1,816.84",9.51,-0.69,,,,
19-Jan-06," 1,814.07 "," 1,824.66 ","1,819.37",10.59,2.53,,,,
20-Jan-06," 1,819.19 "," 1,830.25 ","1,824.72",11.06,5.36,,,,
23-Jan-06," 1,819.16 "," 1,829.95 ","1,824.56",10.79,-0.16,,,,
24-Jan-06," 1,814.76 "," 1,826.25 ","1,820.51",11.49,-4.05,,,,
25-Jan-06," 1,808.45 "," 1,820.60 ","1,814.53",12.15,-5.98,,,,
27-Jan-06," 1,807.34 "," 1,819.58 ","1,813.46",12.24,-1.07,,,,
30-Jan-06," 1,814.36 "," 1,825.65 ","1,820.01",11.29,6.55,,,,
31-Jan-06," 1,814.93 "," 1,825.45 ","1,820.19",10.52,0.18,,,,
1-Feb-06," 1,812.49 "," 1,823.04 ","1,817.77",10.55,-2.43,,,,
2-Feb-06," 1,809.04 "," 1,819.00 ","1,814.02",9.96,-3.74,,,,
3-Feb-06," 1,804.60 "," 1,816.41 ","1,810.51",11.81,-3.51,,,,
6-Feb-06," 1,797.35 "," 1,811.36 ","1,804.36",14.01,-6.15,,,,
7-Feb-06," 1,790.50 "," 1,806.48 ","1,798.49",15.98,-5.87,,,,
8-Feb-06," 1,792.55 "," 1,808.32 ","1,800.44",15.77,1.94,,,,
9-Feb-06," 1,798.97 "," 1,812.64 ","1,805.81",13.67,5.37,,,,
10-Feb-06," 1,806.48 "," 1,817.55 ","1,812.02",11.07,6.21,,,,
13-Feb-06," 1,808.04 "," 1,817.17 ","1,812.61",9.13,0.59,,,,
14-Feb-06," 1,810.52 "," 1,818.46 ","1,814.49",7.94,1.88,,,,
15-Feb-06," 1,812.75 "," 1,819.10 ","1,815.93",6.35,1.43,,,,
16-Feb-06," 1,815.95 "," 1,825.97 ","1,820.96",10.02,5.04,,,,
17-Feb-06," 1,815.48 "," 1,825.02 ","1,820.25",9.54,-0.71,,,,
20-Feb-06," 1,815.72 "," 1,826.24 ","1,820.98",10.52,0.73,,,,
21-Feb-06," 1,822.90 "," 1,835.79 ","1,829.35",12.89,8.37,,,,
22-Feb-06," 1,821.87 "," 1,834.11 ","1,827.99",12.24,-1.36,,,,
24-Feb-06," 1,820.33 "," 1,831.96 ","1,826.15",11.63,-1.84,,,,
27-Feb-06," 1,818.34 "," 1,829.98 ","1,824.16",11.64,-1.99,,,,
28-Feb-06," 1,818.69 "," 1,830.81 ","1,824.75",12.12,0.59,,,,
1-Mar-06," 1,819.53 "," 1,831.03 ","1,825.28",11.50,0.53,,,,
3-Mar-06," 1,819.03 "," 1,829.92 ","1,824.47",10.90,-0.81,,,,
7-Mar-06," 1,816.97 "," 1,827.22 ","1,822.10",10.25,-2.38,,,,
9-Mar-06," 1,814.23 "," 1,822.22 ","1,818.23",7.99,-3.87,,,,
13-Mar-06," 1,814.07 "," 1,824.78 ","1,819.43",10.71,1.20,,,,
14-Mar-06," 1,818.01 "," 1,828.50 ","1,823.26",10.49,3.83,,,,
15-Mar-06," 1,816.92 "," 1,827.22 ","1,822.07",10.30,-1.18,,,,
16-Mar-06," 1,815.71 "," 1,825.81 ","1,820.76",10.10,-1.31,,,,
17-Mar-06," 1,816.18 "," 1,825.93 ","1,821.06",9.75,0.30,,,,
20-Mar-06," 1,815.21 "," 1,825.70 ","1,820.46",10.49,-0.60,,,,
21-Mar-06," 1,814.66 "," 1,823.92 ","1,819.29",9.26,-1.16,,,,
22-Mar-06," 1,814.53 "," 1,823.42 ","1,818.98",8.89,-0.32,,,,
23-Mar-06," 1,815.82 "," 1,824.42 ","1,820.12",8.60,1.14,,,,
24-Mar-06," 1,814.15 "," 1,822.97 ","1,818.56",8.82,-1.56,,,,
27-Mar-06," 1,812.87 "," 1,822.04 ","1,817.46",9.17,-1.11,,,,
28-Mar-06," 1,815.08 "," 1,825.58 ","1,820.33",10.50,2.88,,,,
29-Mar-06," 1,816.23 "," 1,826.01 ","1,821.12",9.78,0.79,,,,
30-Mar-06," 1,816.70 "," 1,826.23 ","1,821.47",9.53,0.35,,,,
31-Mar-06," 1,819.36 "," 1,827.66 ","1,823.51",8.30,2.04,,,,
3-Apr-06," 1,818.57 "," 1,827.89 ","1,823.23",9.32,-0.28,,,,
4-Apr-06," 1,820.17 "," 1,829.99 ","1,825.08",9.82,1.85,,,,
5-Apr-06," 1,821.45 "," 1,830.36 ","1,825.91",8.91,0.83,,,,
6-Apr-06," 1,822.08 "," 1,830.62 ","1,826.35",8.54,0.44,,,,
7-Apr-06," 1,819.46 "," 1,828.48 ","1,823.97",9.02,-2.38,,,,
10-Apr-06," 1,818.45 "," 1,827.53 ","1,822.99",9.08,-0.98,,,,
11-Apr-06," 1,820.24 "," 1,828.50 ","1,824.37",8.26,1.38,,,,
12-Apr-06," 1,821.65 "," 1,830.30 ","1,825.98",8.65,1.61,,,,
13-Apr-06," 1,822.36 "," 1,831.05 ","1,826.71",8.69,0.73,,,,
18-Apr-06," 1,827.79 "," 1,835.00 ","1,831.40",7.21,4.69,,,,
19-Apr-06," 1,828.35 "," 1,835.41 ","1,831.88",7.06,0.49,,,,
20-Apr-06," 1,824.99 "," 1,832.55 ","1,828.77",7.56,-3.11,,,,
21-Apr-06," 1,823.77 "," 1,830.58 ","1,827.18",6.81,-1.60,,,,
24-Apr-06," 1,824.08 "," 1,830.91 ","1,827.50",6.83,0.32,,,,
25-Apr-06," 1,824.22 "," 1,830.88 ","1,827.55",6.66,0.06,,,,
26-Apr-06," 1,827.08 "," 1,833.48 ","1,830.28",6.40,2.73,,,,
27-Apr-06," 1,828.11 "," 1,834.57 ","1,831.34",6.46,1.06,,,,
28-Apr-06," 1,830.56 "," 1,837.84 ","1,834.20",7.28,2.86,,,,
2-May-06," 1,830.98 "," 1,838.70 ","1,834.84",7.72,0.64,,,,
3-May-06," 1,830.75 "," 1,838.78 ","1,834.77",8.03,-0.08,,,,
4-May-06," 1,826.76 "," 1,837.44 ","1,832.10",10.68,-2.66,,,,
5-May-06," 1,824.77 "," 1,835.06 ","1,829.92",10.29,-2.18,,,,
8-May-06," 1,824.56 "," 1,833.99 ","1,829.28",9.43,-0.64,,,,
9-May-06," 1,827.02 "," 1,834.70 ","1,830.86",7.68,1.59,,,,
10-May-06," 1,826.55 "," 1,833.79 ","1,830.17",7.24,-0.69,,,,
11-May-06," 1,825.55 "," 1,832.15 ","1,828.85",6.60,-1.32,,,,
15-May-06," 1,826.16 "," 1,833.12 ","1,829.64",6.96,0.79,,,,
16-May-06," 1,828.89 "," 1,835.97 ","1,832.43",7.08,2.79,,,,
17-May-06," 1,829.64 "," 1,835.86 ","1,832.75",6.22,0.32,,,,
18-May-06," 1,830.19 "," 1,836.48 ","1,833.34",6.29,0.59,,,,
19-May-06," 1,831.29 "," 1,837.72 ","1,834.51",6.43,1.17,,,,
22-May-06," 1,833.15 "," 1,839.31 ","1,836.23",6.16,1.72,,,,
23-May-06," 1,836.38 "," 1,843.47 ","1,839.93",7.09,3.70,,,,
24-May-06," 1,836.21 "," 1,843.22 ","1,839.72",7.01,-0.21,,,,
25-May-06," 1,838.47 "," 1,845.43 ","1,841.95",6.96,2.23,,,,
26-May-06," 1,840.85 "," 1,846.89 ","1,843.87",6.04,1.92,,,,
29-May-06," 1,843.93 "," 1,851.73 ","1,847.83",7.80,3.96,,,,
30-May-06," 1,845.57 "," 1,852.13 ","1,848.85",6.56,1.02,,,,
31-May-06," 1,848.19 "," 1,854.56 ","1,851.38",6.37,2.53,,,,
1-Jun-06," 1,849.22 "," 1,855.87 ","1,852.55",6.65,1.17,,,,
2-Jun-06," 1,851.04 "," 1,859.34 ","1,855.19",8.30,2.64,,,,
5-Jun-06," 1,853.50 "," 1,860.92 ","1,857.21",7.42,2.02,,,,
6-Jun-06," 1,854.68 "," 1,861.91 ","1,858.30",7.23,1.09,,,,
7-Jun-06," 1,854.55 "," 1,861.89 ","1,858.22",7.34,-0.08,,,,
8-Jun-06," 1,853.06 "," 1,860.99 ","1,857.03",7.93,-1.19,,,,
12-Jun-06," 1,852.05 "," 1,860.65 ","1,856.35",8.60,-0.68,,,,
13-Jun-06," 1,852.39 "," 1,860.95 ","1,856.67",8.56,0.32,,,,
14-Jun-06," 1,852.13 "," 1,860.45 ","1,856.29",8.32,-0.38,,,,
15-Jun-06," 1,851.66 "," 1,859.23 ","1,855.45",7.57,-0.84,,,,
16-Jun-06," 1,851.83 "," 1,859.14 ","1,855.49",7.31,0.04,,,,
19-Jun-06," 1,854.68 "," 1,861.80 ","1,858.24",7.12,2.75,,,,
20-Jun-06," 1,858.44 "," 1,864.95 ","1,861.70",6.51,3.46,,,,
21-Jun-06," 1,860.61 "," 1,867.57 ","1,864.09",6.96,2.39,,,,
22-Jun-06," 1,862.89 "," 1,870.11 ","1,866.50",7.22,2.41,,,,
23-Jun-06," 1,868.00 "," 1,876.85 ","1,872.43",8.85,5.92,,,,
26-Jun-06," 1,864.59 "," 1,874.72 ","1,869.66",10.13,-2.77,,,,
27-Jun-06," 1,862.06 "," 1,871.44 ","1,866.75",9.38,-2.90,,,,
28-Jun-06," 1,854.39 "," 1,864.79 ","1,859.59",10.40,-7.16,,,,
29-Jun-06," 1,853.10 "," 1,864.84 ","1,858.97",11.74,-0.62,,,,
30-Jun-06," 1,858.37 "," 1,866.22 ","1,862.30",7.85,3.33,,,,
3-Jul-06," 1,858.59 "," 1,868.15 ","1,863.37",9.56,1.07,,,,
4-Jul-06," 1,851.18 "," 1,862.11 ","1,856.65",10.93,-6.72,,,,
5-Jul-06," 1,854.39 "," 1,862.26 ","1,858.33",7.87,1.68,,,,
6-Jul-06," 1,853.71 "," 1,862.13 ","1,857.92",8.42,-0.40,,,,
7-Jul-06," 1,852.61 "," 1,861.66 ","1,857.14",9.05,-0.79,,,,
10-Jul-06," 1,851.56 "," 1,861.11 ","1,856.34",9.55,-0.80,,,,
11-Jul-06," 1,847.38 "," 1,858.66 ","1,853.02",11.28,-3.32,,,,
12-Jul-06," 1,850.96 "," 1,860.41 ","1,855.69",9.45,2.66,,,,
13-Jul-06," 1,850.99 "," 1,860.15 ","1,855.57",9.16,-0.11,,,,
14-Jul-06," 1,851.15 "," 1,859.82 ","1,855.49",8.67,-0.09,,,,
17-Jul-06," 1,851.69 "," 1,859.81 ","1,855.75",8.12,0.26,,,,
18-Jul-06," 1,852.57 "," 1,860.18 ","1,856.38",7.61,0.63,,,,
19-Jul-06," 1,856.82 "," 1,863.76 ","1,860.29",6.94,3.91,,,,
20-Jul-06," 1,856.87 "," 1,865.09 ","1,860.98",8.22,0.69,,,,
21-Jul-06," 1,853.20 "," 1,864.55 ","1,858.88",11.35,-2.11,,,,
24-Jul-06," 1,852.69 "," 1,864.88 ","1,858.79",12.19,-0.09,,,,
25-Jul-06," 1,853.83 "," 1,865.08 ","1,859.46",11.25,0.67,,,,
26-Jul-06," 1,854.77 "," 1,865.13 ","1,859.95",10.36,0.50,,,,
27-Jul-06," 1,853.66 "," 1,864.65 ","1,859.16",10.99,-0.79,,,,
28-Jul-06," 1,851.25 "," 1,862.86 ","1,857.06",11.61,-2.10,,,,
31-Jul-06," 1,850.01 "," 1,861.76 ","1,855.89",11.75,-1.17,,,,
1-Aug-06," 1,841.75 "," 1,856.12 ","1,848.94",14.37,-6.95,,,,
2-Aug-06," 1,834.39 "," 1,849.82 ","1,842.11",15.43,-6.83,,,,
3-Aug-06," 1,830.35 "," 1,846.19 ","1,838.27",15.84,-3.84,,,,
4-Aug-06," 1,830.45 "," 1,845.56 ","1,838.01",15.11,-0.26,,,,
7-Aug-06," 1,831.06 "," 1,845.04 ","1,838.05",13.98,0.04,,,,
8-Aug-06," 1,831.53 "," 1,845.24 ","1,838.39",13.71,0.34,,,,
9-Aug-06," 1,836.63 "," 1,849.09 ","1,842.86",12.46,4.48,,,,
10-Aug-06," 1,844.87 "," 1,854.85 ","1,849.86",9.98,7.00,,,,
11-Aug-06," 1,844.84 "," 1,854.84 ","1,849.84",10.00,-0.02,,,,
14-Aug-06," 1,845.12 "," 1,854.29 ","1,849.71",9.17,-0.13,,,,
15-Aug-06," 1,844.56 "," 1,853.52 ","1,849.04",8.96,-0.66,,,,
16-Aug-06," 1,843.94 "," 1,853.17 ","1,848.55",9.24,-0.49,,,,
17-Aug-06," 1,843.31 "," 1,852.82 ","1,848.07",9.51,-0.49,,,,
18-Aug-06," 1,844.57 "," 1,853.58 ","1,849.08",9.01,1.01,,,,
21-Aug-06," 1,846.50 "," 1,854.40 ","1,850.45",7.90,1.38,,,,
22-Aug-06," 1,849.07 "," 1,855.65 ","1,852.36",6.58,1.91,,,,
23-Aug-06," 1,850.75 "," 1,857.22 ","1,853.99",6.47,1.63,,,,
24-Aug-06," 1,847.29 "," 1,855.64 ","1,851.47",8.35,-2.52,,,,
25-Aug-06," 1,845.88 "," 1,855.08 ","1,850.48",9.20,-0.99,,,,
28-Aug-06," 1,846.44 "," 1,855.45 ","1,850.95",9.01,0.47,,,,
29-Aug-06," 1,847.71 "," 1,855.76 ","1,851.74",8.05,0.79,,,,
30-Aug-06," 1,849.77 "," 1,855.67 ","1,852.72",5.90,0.98,,,,
31-Aug-06," 1,849.49 "," 1,856.76 ","1,853.13",7.27,0.40,,,,
1-Sep-06," 1,849.96 "," 1,856.93 ","1,853.45",6.97,0.32,,,,
4-Sep-06," 1,849.60 "," 1,856.20 ","1,852.90",6.60,-0.55,,,,
5-Sep-06," 1,849.74 "," 1,856.56 ","1,853.15",6.82,0.25,,,,
6-Sep-06," 1,850.93 "," 1,857.36 ","1,854.15",6.43,0.99,,,,
7-Sep-06," 1,850.39 "," 1,857.05 ","1,853.72",6.66,-0.42,,,,
8-Sep-06," 1,852.24 "," 1,858.03 ","1,855.14",5.79,1.41,,,,
11-Sep-06," 1,853.22 "," 1,858.08 ","1,855.65",4.86,0.52,,,,
12-Sep-06," 1,853.34 "," 1,858.77 ","1,856.06",5.43,0.40,,,,
13-Sep-06," 1,853.82 "," 1,858.92 ","1,856.37",5.10,0.32,,,,
14-Sep-06," 1,853.59 "," 1,858.52 ","1,856.06",4.93,-0.32,,,,
15-Sep-06," 1,852.11 "," 1,857.51 ","1,854.81",5.40,-1.24,,,,
18-Sep-06," 1,849.71 "," 1,855.75 ","1,852.73",6.04,-2.08,,,,
19-Sep-06," 1,846.68 "," 1,853.38 ","1,850.03",6.70,-2.70,,,,
20-Sep-06," 1,846.70 "," 1,853.12 ","1,849.91",6.42,-0.12,,,,
21-Sep-06," 1,847.77 "," 1,854.31 ","1,851.04",6.54,1.13,,,,
22-Sep-06," 1,850.52 "," 1,856.39 ","1,853.46",5.87,2.41,,,,
25-Sep-06," 1,851.57 "," 1,857.12 ","1,854.35",5.55,0.89,,,,
26-Sep-06," 1,853.34 "," 1,858.79 ","1,856.07",5.45,1.72,,,,
27-Sep-06," 1,855.26 "," 1,862.00 ","1,858.63",6.74,2.57,,,,
28-Sep-06," 1,856.35 "," 1,862.62 ","1,859.49",6.27,0.85,,,,
29-Sep-06," 1,858.15 "," 1,864.02 ","1,861.09",5.87,1.60,,,,
2-Oct-06," 1,859.71 "," 1,865.28 ","1,862.50",5.57,1.41,,,,
3-Oct-06," 1,859.00 "," 1,864.56 ","1,861.78",5.56,-0.71,,,,
4-Oct-06," 1,856.81 "," 1,862.48 ","1,859.65",5.67,-2.13,,,,
5-Oct-06," 1,856.83 "," 1,862.36 ","1,859.60",5.53,-0.05,,,,
6-Oct-06," 1,853.55 "," 1,859.39 ","1,856.47",5.84,-3.12,,,,
10-Oct-06," 1,851.46 "," 1,857.71 ","1,854.59",6.25,-1.88,,,,
11-Oct-06," 1,848.26 "," 1,854.89 ","1,851.58",6.63,-3.01,,,,
12-Oct-06," 1,843.11 "," 1,851.52 ","1,847.32",8.41,-4.26,,,,
13-Oct-06," 1,839.90 "," 1,849.56 ","1,844.73",9.66,-2.59,,,,
16-Oct-06," 1,834.29 "," 1,845.30 ","1,839.80",11.01,-4.93,,,,
17-Oct-06," 1,832.27 "," 1,843.35 ","1,837.81",11.08,-1.99,,,,
18-Oct-06," 1,832.14 "," 1,842.32 ","1,837.23",10.18,-0.58,,,,
19-Oct-06," 1,832.29 "," 1,842.14 ","1,837.22",9.85,-0.01,,,,
20-Oct-06," 1,834.03 "," 1,843.45 ","1,838.74",9.42,1.52,,,,
24-Oct-06," 1,834.48 "," 1,843.83 ","1,839.16",9.35,0.41,,,,
25-Oct-06," 1,833.27 "," 1,843.10 ","1,838.19",9.83,-0.97,,,,
26-Oct-06," 1,827.95 "," 1,837.40 ","1,832.68",9.45,-5.51,,,,
27-Oct-06," 1,821.73 "," 1,832.51 ","1,827.12",10.78,-5.56,,,,
30-Oct-06," 1,816.55 "," 1,828.75 ","1,822.65",12.20,-4.47,,,,
31-Oct-06," 1,813.53 "," 1,826.00 ","1,819.77",12.47,-2.89,,,,
1-Nov-06," 1,814.66 "," 1,826.32 ","1,820.49",11.66,0.73,,,,
2-Nov-06," 1,815.43 "," 1,826.18 ","1,820.81",10.75,0.32,,,,
3-Nov-06," 1,815.51 "," 1,825.96 ","1,820.74",10.45,-0.07,,,,
6-Nov-06," 1,817.33 "," 1,825.46 ","1,821.40",8.13,0.66,,,,
7-Nov-06," 1,817.82 "," 1,826.27 ","1,822.05",8.45,0.65,,,,
8-Nov-06," 1,816.34 "," 1,825.02 ","1,820.68",8.68,-1.37,,,,
9-Nov-06," 1,815.81 "," 1,823.87 ","1,819.84",8.06,-0.84,,,,
10-Nov-06," 1,815.21 "," 1,822.99 ","1,819.10",7.78,-0.74,,,,
13-Nov-06," 1,815.27 "," 1,823.33 ","1,819.30",8.06,0.20,,,,
14-Nov-06," 1,816.64 "," 1,824.34 ","1,820.49",7.70,1.19,,,,
15-Nov-06," 1,816.98 "," 1,824.37 ","1,820.68",7.39,0.18,,,,
16-Nov-06," 1,818.80 "," 1,826.75 ","1,822.78",7.95,2.10,,,,
17-Nov-06," 1,819.65 "," 1,827.94 ","1,823.80",8.29,1.02,,,,
20-Nov-06," 1,819.71 "," 1,827.91 ","1,823.81",8.20,0.01,,,,
21-Nov-06," 1,818.80 "," 1,825.94 ","1,822.37",7.14,-1.44,,,,
22-Nov-06," 1,816.76 "," 1,823.70 ","1,820.23",6.94,-2.14,,,,
23-Nov-06," 1,813.90 "," 1,821.08 ","1,817.49",7.18,-2.74,,,,
24-Nov-06," 1,813.44 "," 1,819.59 ","1,816.52",6.15,-0.98,,,,
27-Nov-06," 1,809.74 "," 1,817.31 ","1,813.53",7.57,-2.99,,,,
28-Nov-06," 1,804.48 "," 1,816.03 ","1,810.26",11.55,-3.27,,,,
29-Nov-06," 1,804.58 "," 1,815.20 ","1,809.89",10.62,-0.37,,,,
30-Nov-06," 1,802.61 "," 1,814.43 ","1,808.52",11.82,-1.37,,,,
1-Dec-06," 1,801.13 "," 1,811.60 ","1,806.37",10.47,-2.15,,,,
4-Dec-06," 1,800.28 "," 1,810.71 ","1,805.50",10.43,-0.87,,,,
5-Dec-06," 1,798.47 "," 1,807.43 ","1,802.95",8.96,-2.54,,,,
